country,year,sex,gender_female,gender_male,age,suicides,population,na.rm
Virgin Islands (USA),2003,female,female,male,35-54 years,1,16390,TRUE
Virgin Islands (USA),2003,female,female,male,5-14 years,0,8916,TRUE
Virgin Islands (USA),2003,female,female,male,55-74 years,0,10238,TRUE
Virgin Islands (USA),2003,female,female,male,75+ years,0,1940,TRUE
Virgin Islands (USA),2003,male,female,male,15-24 years,2,7425,TRUE
Virgin Islands (USA),2003,male,female,male,25-34 years,2,5841,TRUE
Virgin Islands (USA),2003,male,female,male,35-54 years,2,14433,TRUE
Virgin Islands (USA),2003,male,female,male,5-14 years,0,9021,TRUE
Virgin Islands (USA),2003,male,female,male,55-74 years,2,10110,TRUE
Virgin Islands (USA),2003,male,female,male,75+ years,0,1706,TRUE
Virgin Islands (USA),2004,female,female,male,15-24 years,0,7985,TRUE
Virgin Islands (USA),2004,female,female,male,25-34 years,0,6765,TRUE
Virgin Islands (USA),2004,female,female,male,35-54 years,0,16253,TRUE
Virgin Islands (USA),2004,female,female,male,5-14 years,0,8567,TRUE
Virgin Islands (USA),2004,female,female,male,55-74 years,0,10662,TRUE
Virgin Islands (USA),2004,female,female,male,75+ years,0,1989,TRUE
Virgin Islands (USA),2004,male,female,male,15-24 years,0,7345,TRUE
Virgin Islands (USA),2004,male,female,male,25-34 years,2,5777,TRUE
Virgin Islands (USA),2004,male,female,male,35-54 years,3,14332,TRUE
Virgin Islands (USA),2004,male,female,male,5-14 years,0,8742,TRUE
Virgin Islands (USA),2004,male,female,male,55-74 years,0,10455,TRUE
Virgin Islands (USA),2004,male,female,male,75+ years,0,1758,TRUE
Virgin Islands (USA),2005,female,female,male,15-24 years,0,7875,TRUE
Virgin Islands (USA),2005,female,female,male,25-34 years,0,6720,TRUE
Virgin Islands (USA),2005,female,female,male,35-54 years,0,16142,TRUE
Virgin Islands (USA),2005,female,female,male,5-14 years,0,8233,TRUE
Virgin Islands (USA),2005,female,female,male,55-74 years,0,11071,TRUE
Virgin Islands (USA),2005,female,female,male,75+ years,0,2047,TRUE
Virgin Islands (USA),2005,male,female,male,15-24 years,0,7195,TRUE
Virgin Islands (USA),2005,male,female,male,25-34 years,1,5764,TRUE
Virgin Islands (USA),2005,male,female,male,35-54 years,0,14253,TRUE
Virgin Islands (USA),2005,male,female,male,5-14 years,0,8477,TRUE
Virgin Islands (USA),2005,male,female,male,55-74 years,0,10773,TRUE
Virgin Islands (USA),2005,male,female,male,75+ years,1,1798,TRUE
Virgin Islands (USA),2006,female,female,male,15-24 years,0,7697,TRUE
Virgin Islands (USA),2006,female,female,male,25-34 years,0,6707,TRUE
Virgin Islands (USA),2006,female,female,male,35-54 years,4,16020,TRUE
Virgin Islands (USA),2006,female,female,male,5-14 years,0,7923,TRUE
Virgin Islands (USA),2006,female,female,male,55-74 years,0,11427,TRUE
Virgin Islands (USA),2006,female,female,male,75+ years,0,2158,TRUE
Virgin Islands (USA),2006,male,female,male,15-24 years,2,7010,TRUE
Virgin Islands (USA),2006,male,female,male,25-34 years,2,5786,TRUE
Virgin Islands (USA),2006,male,female,male,35-54 years,4,14205,TRUE
Virgin Islands (USA),2006,male,female,male,5-14 years,0,8252,TRUE
Virgin Islands (USA),2006,male,female,male,55-74 years,1,10928,TRUE
Virgin Islands (USA),2006,male,female,male,75+ years,1,1854,TRUE
Virgin Islands (USA),2007,female,female,male,15-24 years,0,7499,TRUE
Virgin Islands (USA),2007,female,female,male,25-34 years,0,6716,TRUE
Virgin Islands (USA),2007,female,female,male,35-54 years,3,15926,TRUE
Virgin Islands (USA),2007,female,female,male,5-14 years,0,7638,TRUE
Virgin Islands (USA),2007,female,female,male,55-74 years,0,11755,TRUE
Virgin Islands (USA),2007,female,female,male,75+ years,0,2279,TRUE
Virgin Islands (USA),2007,male,female,male,15-24 years,1,6823,TRUE
Virgin Islands (USA),2007,male,female,male,25-34 years,2,5792,TRUE
Virgin Islands (USA),2007,male,female,male,35-54 years,1,14189,TRUE
Virgin Islands (USA),2007,male,female,male,5-14 years,1,8031,TRUE
Virgin Islands (USA),2007,male,female,male,55-74 years,2,11057,TRUE
Virgin Islands (USA),2007,male,female,male,75+ years,1,1892,TRUE
Virgin Islands (USA),2008,female,female,male,15-24 years,0,7303,TRUE
Virgin Islands (USA),2008,female,female,male,25-34 years,0,6713,TRUE
Virgin Islands (USA),2008,female,female,male,35-54 years,1,15838,TRUE
Virgin Islands (USA),2008,female,female,male,5-14 years,0,7395,TRUE
Virgin Islands (USA),2008,female,female,male,55-74 years,0,12078,TRUE
Virgin Islands (USA),2008,female,female,male,75+ years,0,2404,TRUE
Virgin Islands (USA),2008,male,female,male,15-24 years,0,6663,TRUE
Virgin Islands (USA),2008,male,female,male,25-34 years,2,5762,TRUE
Virgin Islands (USA),2008,male,female,male,35-54 years,3,14188,TRUE
Virgin Islands (USA),2008,male,female,male,5-14 years,0,7823,TRUE
Virgin Islands (USA),2008,male,female,male,55-74 years,0,11182,TRUE
Virgin Islands (USA),2008,male,female,male,75+ years,0,1919,TRUE
Virgin Islands (USA),2009,female,female,male,15-24 years,0,7117,TRUE
Virgin Islands (USA),2009,female,female,male,25-34 years,0,6667,TRUE
Virgin Islands (USA),2009,female,female,male,35-54 years,0,15743,TRUE
Virgin Islands (USA),2009,female,female,male,5-14 years,0,7203,TRUE
Virgin Islands (USA),2009,female,female,male,55-74 years,0,12400,TRUE
Virgin Islands (USA),2009,female,female,male,75+ years,0,2526,TRUE
Virgin Islands (USA),2009,male,female,male,15-24 years,1,6543,TRUE
Virgin Islands (USA),2009,male,female,male,25-34 years,0,5661,TRUE
Virgin Islands (USA),2009,male,female,male,35-54 years,4,14175,TRUE
Virgin Islands (USA),2009,male,female,male,5-14 years,0,7647,TRUE
Virgin Islands (USA),2009,male,female,male,55-74 years,4,11337,TRUE
Virgin Islands (USA),2009,male,female,male,75+ years,0,1941,TRUE
